Type	Date	Time	Source	Category	Event	User	Computer
Information	6/9/2022	1:24:14 PM	LoadPerf	None	1001	N/A	BO126B-041780
Information	6/9/2022	1:24:10 PM	LoadPerf	None	1001	N/A	BO126B-041780
Information	6/9/2022	1:24:09 PM	ASP.NET 2.0.50727.0	Setup 	1017	N/A	BO126B-041780
Information	6/9/2022	1:16:34 PM	MsiInstaller	None	11728	d-user	BO126B-041780
Information	6/9/2022	1:16:34 PM	MsiInstaller	None	1022	d-user	BO126B-041780
Information	6/9/2022	1:16:33 PM	LoadPerf	None	1002	N/A	BO126B-041780
Information	6/9/2022	1:16:31 PM	LoadPerf	None	1002	N/A	BO126B-041780
Information	6/9/2022	1:16:30 PM	LoadPerf	None	1002	N/A	BO126B-041780
Information	6/9/2022	1:16:29 PM	LoadPerf	None	1002	N/A	BO126B-041780
Information	6/9/2022	1:16:27 PM	LoadPerf	None	1002	N/A	BO126B-041780
Information	6/9/2022	1:15:05 PM	ASP.NET 2.0.50727.0	Setup 	1019	N/A	BO126B-041780
Warning	6/9/2022	1:15:05 PM	ASP.NET 2.0.50727.0	Setup 	1020	N/A	BO126B-041780
Information	6/9/2022	1:15:03 PM	LoadPerf	None	1000	N/A	BO126B-041780
Information	6/9/2022	1:15:02 PM	LoadPerf	None	1001	N/A	BO126B-041780
Information	6/9/2022	1:15:02 PM	LoadPerf	None	1000	N/A	BO126B-041780
Information	6/9/2022	1:14:59 PM	LoadPerf	None	1000	N/A	BO126B-041780
Information	6/9/2022	1:14:59 PM	LoadPerf	None	1001	N/A	BO126B-041780
Information	6/9/2022	1:14:54 PM	LoadPerf	None	1001	N/A	BO126B-041780
Information	6/9/2022	1:14:52 PM	ASP.NET 2.0.50727.0	Setup 	1017	N/A	BO126B-041780
Information	6/9/2022	1:06:42 PM	MsiInstaller	None	11707	d-user	BO126B-041780
Information	6/9/2022	12:01:30 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/9/2022	12:00:20 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/9/2022	9:20:17 AM	AntiVirus	None	14	N/A	BO126B-041780
Information	6/9/2022	9:14:16 AM	MySQL	None	100	N/A	BO126B-041780
Information	6/9/2022	9:14:12 AM	SecurityCenter	None	1807	N/A	BO126B-041780
Information	6/9/2022	9:14:12 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/9/2022	9:13:47 AM	LANDesk 	None	2	N/A	BO126B-041780
Information	6/9/2022	9:13:40 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/9/2022	9:13:18 AM	ccEvtMgr	None	35	SYSTEM	BO126B-041780
Information	6/9/2022	9:13:16 AM	ccEvtMgr	None	34	SYSTEM	BO126B-041780
Information	6/9/2022	9:13:16 AM	ccSetMgr	None	35	SYSTEM	BO126B-041780
